全体順位,語1,語1品詞,語2,語2品詞,共起事例数,共起事例率（％）,語1出現事例数,語2出現事例数,対象事例数
249,いる,動詞,直撃,名詞,368,4.7904,5314,488,7682
250,くる,動詞,中,名詞,368,4.7904,697,4291,7682
251,他,名詞,当たる,動詞,366,4.7644,1224,1708,7682
252,する,動詞,治療,名詞,365,4.7514,6712,372,7682
253,他,名詞,部,名詞,365,4.7514,1224,2321,7682
254,ところ,名詞,他,名詞,361,4.6993,1929,1224,7682
255,中,名詞,時,名詞,361,4.6993,4291,753,7682
256,いる,動詞,バランス,名詞,359,4.6733,5314,534,7682
257,ため,名詞,部,名詞,358,4.6602,1266,2321,7682
258,れる,動詞,搬送,名詞,358,4.6602,1340,414,7682
259,れる,動詞,救急,名詞,358,4.6602,1340,416,7682
260,なる,動詞,生徒,名詞,357,4.6472,1043,2296,7682
261,ところ,名詞,眼,名詞,354,4.6082,1929,1473,7682
262,ボール,名詞,負傷,名詞,354,4.6082,1623,1632,7682
263,受ける,動詞,治療,名詞,353,4.5952,749,372,7682
264,いる,動詞,崩す,動詞,351,4.5691,5314,518,7682
265,ところ,名詞,れる,動詞,351,4.5691,1929,1340,7682
266,中,名詞,行う,動詞,351,4.5691,4291,601,7682
267,する,動詞,滑る,動詞,350,4.5561,6712,388,7682
268,ボール,名詞,活動,名詞,350,4.5561,1623,1104,7682
269,中,名詞,救急,名詞,350,4.5561,4291,416,7682
270,受ける,動詞,部,名詞,350,4.5561,749,2321,7682
271,する,動詞,ぶつける,動詞,349,4.5431,6712,422,7682
272,時間,名詞,際,名詞,349,4.5431,822,3015,7682
273,中,名詞,搬送,名詞,348,4.5301,4291,414,7682
274,いる,動詞,口,名詞,346,4.504,5314,490,7682
275,いる,動詞,休憩,名詞,345,4.491,5314,433,7682
276,ところ,名詞,負傷,名詞,345,4.491,1929,1632,7682
277,生徒,名詞,顔面,名詞,343,4.465,2296,1039,7682
278,右,名詞,負傷,名詞,341,4.4389,1550,1632,7682
279,相手,名詞,練習,名詞,341,4.4389,908,2068,7682
280,する,動詞,２,名詞,340,4.4259,6712,389,7682
281,とき,名詞,生徒,名詞,340,4.4259,1108,2296,7682
282,する,動詞,投げる,動詞,339,4.4129,6712,403,7682
283,する,動詞,頭部,名詞,339,4.4129,6712,373,7682
284,中,名詞,倒れる,動詞,339,4.4129,4291,612,7682
285,いる,動詞,床,名詞,336,4.3739,5314,465,7682
286,当たる,動詞,野球,名詞,335,4.3608,1708,702,7682
287,しまう,動詞,中,名詞,334,4.3478,717,4291,7682
288,中,名詞,治療,名詞,334,4.3478,4291,372,7682
289,いる,動詞,歯,名詞,333,4.3348,5314,498,7682
290,受ける,動詞,残る,動詞,333,4.3348,749,797,7682
291,する,動詞,手術,名詞,332,4.3218,6712,335,7682
292,中,名詞,手,名詞,331,4.3088,4291,634,7682
293,中,名詞,走る,動詞,329,4.2827,4291,704,7682
294,眼,名詞,負傷,名詞,329,4.2827,1473,1632,7682
295,する,動詞,よう,名詞,327,4.2567,6712,366,7682
296,する,動詞,本,名詞,327,4.2567,6712,397,7682
297,サッカー,名詞,中,名詞,327,4.2567,463,4291,7682
298,当たる,動詞,活動,名詞,327,4.2567,1708,1104,7682
299,ボール,名詞,相手,名詞,326,4.2437,1623,908,7682
300,授業,名詞,生徒,名詞,324,4.2177,990,2296,7682
301,負傷,名詞,転倒,名詞,324,4.2177,1632,1254,7682
302,前歯,名詞,際,名詞,323,4.2046,750,3015,7682
303,とき,名詞,部,名詞,322,4.1916,1108,2321,7682
304,いる,動詞,顔,名詞,321,4.1786,5314,451,7682
305,左,名詞,負傷,名詞,321,4.1786,1470,1632,7682
306,する,動詞,膝,名詞,320,4.1656,6712,358,7682
307,他,名詞,眼,名詞,320,4.1656,1224,1473,7682
308,ところ,名詞,児童,名詞,319,4.1526,1929,1055,7682
309,れる,動詞,受ける,動詞,319,4.1526,1340,749,7682
310,当たる,動詞,試合,名詞,319,4.1526,1708,965,7682
311,する,動詞,蹴る,動詞,318,4.1395,6712,400,7682
312,打つ,動詞,生徒,名詞,318,4.1395,835,2296,7682
313,打つ,動詞,際,名詞,318,4.1395,835,3015,7682
314,打つ,動詞,練習,名詞,317,4.1265,835,2068,7682
315,他,名詞,左,名詞,316,4.1135,1224,1470,7682
316,活動,名詞,眼,名詞,316,4.1135,1104,1473,7682
317,野球,名詞,際,名詞,316,4.1135,702,3015,7682
318,中,名詞,強い,形容詞,315,4.1005,4291,577,7682
319,中,名詞,足,名詞,315,4.1005,4291,667,7682
320,場,名詞,練習,名詞,315,4.1005,886,2068,7682
321,する,動詞,下,名詞,314,4.0875,6712,374,7682
322,する,動詞,右手,名詞,314,4.0875,6712,347,7682
323,ところ,名詞,授業,名詞,314,4.0875,1929,990,7682
324,中,名詞,歯,名詞,313,4.0745,4291,498,7682
325,中,名詞,直撃,名詞,311,4.0484,4291,488,7682
326,部,名詞,顔面,名詞,311,4.0484,2321,1039,7682
327,いる,動詞,投げる,動詞,308,4.0094,5314,403,7682
328,する,動詞,廊下,名詞,308,4.0094,6712,366,7682
329,中,名詞,骨折,名詞,307,3.9964,4291,389,7682
330,強打,名詞,転倒,名詞,307,3.9964,810,1254,7682
331,いる,動詞,ぶつける,動詞,306,3.9833,5314,422,7682
332,体育,名詞,生徒,名詞,305,3.9703,891,2296,7682
333,いる,動詞,サッカー,名詞,304,3.9573,5314,463,7682
334,とき,名詞,練習,名詞,304,3.9573,1108,2068,7682
335,打つ,動詞,部,名詞,304,3.9573,835,2321,7682
336,バランス,名詞,中,名詞,303,3.9443,534,4291,7682
337,活動,名詞,野球,名詞,302,3.9313,1104,702,7682
338,ところ,名詞,転倒,名詞,301,3.9183,1929,1254,7682
339,なる,動詞,部,名詞,300,3.9052,1043,2321,7682
340,サッカー,名詞,ボール,名詞,300,3.9052,463,1623,7682
341,中,名詞,友人,名詞,300,3.9052,4291,691,7682
342,生徒,名詞,野球,名詞,299,3.8922,2296,702,7682
343,他,名詞,右,名詞,298,3.8792,1224,1550,7682
344,足,名詞,際,名詞,298,3.8792,667,3015,7682
345,眼,名詞,野球,名詞,297,3.8662,1473,702,7682
346,いる,動詞,滑る,動詞,296,3.8532,5314,388,7682
347,する,動詞,障害,名詞,296,3.8532,6712,341,7682
348,れる,動詞,負傷,名詞,296,3.8532,1340,1632,7682
349,いる,動詞,地面,名詞,295,3.8401,5314,429,7682
350,する,動詞,打球,名詞,294,3.8271,6712,352,7682
351,中,名詞,崩す,動詞,294,3.8271,4291,518,7682
352,右,名詞,残る,動詞,293,3.8141,1550,797,7682
353,当たる,動詞,相手,名詞,291,3.7881,1708,908,7682
354,場,名詞,生徒,名詞,290,3.7751,886,2296,7682
355,する,動詞,頭,名詞,289,3.762,6712,355,7682
356,れる,動詞,右,名詞,289,3.762,1340,1550,7682
357,他,名詞,練習,名詞,288,3.749,1224,2068,7682
358,練習,名詞,運動,名詞,287,3.736,2068,809,7682
359,転倒,名詞,部,名詞,287,3.736,1254,2321,7682
360,いる,動詞,搬送,名詞,286,3.723,5314,414,7682
361,しまう,動詞,際,名詞,286,3.723,717,3015,7682
362,なる,動詞,れる,動詞,286,3.723,1043,1340,7682
363,いる,動詞,救急,名詞,285,3.71,5314,416,7682
364,する,動詞,取る,動詞,285,3.71,6712,321,7682
365,中,名詞,手術,名詞,285,3.71,4291,335,7682
366,練習,名詞,顔面,名詞,285,3.71,2068,1039,7682
367,ため,名詞,練習,名詞,283,3.6839,1266,2068,7682
368,他,名詞,負傷,名詞,282,3.6709,1224,1632,7682
369,後,名詞,際,名詞,282,3.6709,788,3015,7682
370,手,名詞,際,名詞,282,3.6709,634,3015,7682
371,いる,動詞,本,名詞,281,3.6579,5314,397,7682
372,ぶつかる,動詞,中,名詞,281,3.6579,534,4291,7682
373,する,動詞,落下,名詞,280,3.6449,6712,282,7682
374,中,名詞,自転車,名詞,280,3.6449,4291,393,7682
375,ため,名詞,れる,動詞,279,3.6319,1266,1340,7682
376,中,名詞,障害,名詞,279,3.6319,4291,341,7682
377,れる,動詞,残る,動詞,278,3.6188,1340,797,7682
378,友人,名詞,際,名詞,278,3.6188,691,3015,7682
379,場,名詞,残る,動詞,278,3.6188,886,797,7682
380,残る,動詞,運動,名詞,278,3.6188,797,809,7682
381,負傷,名詞,顔面,名詞,278,3.6188,1632,1039,7682
382,する,動詞,受診,名詞,277,3.6058,6712,279,7682
383,中,名詞,顔,名詞,277,3.6058,4291,451,7682
384,いる,動詞,２,名詞,276,3.5928,5314,389,7682
385,いる,動詞,よう,名詞,274,3.5668,5314,366,7682
386,受ける,動詞,搬送,名詞,274,3.5668,749,414,7682
387,くる,動詞,際,名詞,273,3.5538,697,3015,7682
388,する,動詞,瘢痕,名詞,273,3.5538,6712,284,7682
389,中,名詞,前,名詞,273,3.5538,4291,588,7682
390,いる,動詞,持つ,動詞,272,3.5407,5314,304,7682
391,れる,動詞,練習,名詞,272,3.5407,1340,2068,7682
392,右,名詞,活動,名詞,271,3.5277,1550,1104,7682
393,する,動詞,３,名詞,269,3.5017,6712,303,7682
394,体育館,名詞,際,名詞,269,3.5017,562,3015,7682
395,受ける,動詞,救急,名詞,269,3.5017,749,416,7682
396,いる,動詞,下,名詞,268,3.4887,5314,374,7682
397,こと,名詞,する,動詞,268,3.4887,305,6712,7682
398,いる,動詞,治療,名詞,267,3.4757,5314,372,7682
399,する,動詞,室,名詞,267,3.4757,6712,323,7682
400,ところ,名詞,なる,動詞,267,3.4757,1929,1043,7682
401,転倒,名詞,顔面,名詞,267,3.4757,1254,1039,7682
402,する,動詞,つく,動詞,266,3.4626,6712,291,7682
403,する,動詞,状態,名詞,266,3.4626,6712,295,7682
404,する,動詞,車,名詞,266,3.4626,6712,268,7682
405,ところ,名詞,時間,名詞,266,3.4626,1929,822,7682
406,れる,動詞,他,名詞,266,3.4626,1340,1224,7682
407,中,名詞,口,名詞,266,3.4626,4291,490,7682
408,左,名詞,残る,動詞,266,3.4626,1470,797,7682
409,生徒,名詞,直撃,名詞,266,3.4626,2296,488,7682
410,する,動詞,行く,動詞,265,3.4496,6712,319,7682
411,中,名詞,瘢痕,名詞,265,3.4496,4291,284,7682
412,走る,動詞,際,名詞,265,3.4496,704,3015,7682
413,ボール,名詞,打つ,動詞,264,3.4366,1623,835,7682
414,直撃,名詞,練習,名詞,263,3.4236,488,2068,7682
415,いる,動詞,廊下,名詞,262,3.4106,5314,366,7682
416,する,動詞,持つ,動詞,262,3.4106,6712,304,7682
417,上,名詞,中,名詞,262,3.4106,541,4291,7682
418,ため,名詞,負傷,名詞,260,3.3845,1266,1632,7682
419,行う,動詞,際,名詞,260,3.3845,601,3015,7682
420,いる,動詞,骨折,名詞,259,3.3715,5314,389,7682
421,くる,動詞,生徒,名詞,259,3.3715,697,2296,7682
422,する,動詞,入る,動詞,258,3.3585,6712,306,7682
423,する,動詞,１,名詞,258,3.3585,6712,296,7682
424,ため,名詞,なる,動詞,258,3.3585,1266,1043,7682
425,ところ,名詞,顔面,名詞,258,3.3585,1929,1039,7682
426,後,名詞,生徒,名詞,258,3.3585,788,2296,7682
427,する,動詞,病院,名詞,257,3.3455,6712,263,7682
428,する,動詞,落ちる,動詞,255,3.3194,6712,300,7682
429,眼,名詞,試合,名詞,255,3.3194,1473,965,7682
430,する,動詞,バッティング,名詞,254,3.3064,6712,279,7682
431,中,名詞,打球,名詞,254,3.3064,4291,352,7682
432,する,動詞,出る,動詞,253,3.2934,6712,286,7682
433,する,動詞,バスケットボール,名詞,252,3.2804,6712,273,7682
434,ため,名詞,児童,名詞,252,3.2804,1266,1055,7682
435,児童,名詞,当たる,動詞,252,3.2804,1055,1708,7682
436,いる,動詞,蹴る,動詞,251,3.2674,5314,400,7682
437,なる,動詞,練習,名詞,251,3.2674,1043,2068,7682
438,れる,動詞,左,名詞,251,3.2674,1340,1470,7682
439,左,名詞,活動,名詞,251,3.2674,1470,1104,7682
440,後,名詞,部,名詞,251,3.2674,788,2321,7682
441,打つ,動詞,眼,名詞,251,3.2674,835,1473,7682
442,する,動詞,下校,名詞,250,3.2544,6712,281,7682
443,他,名詞,残る,動詞,250,3.2544,1224,797,7682
444,強い,形容詞,際,名詞,250,3.2544,577,3015,7682
445,児童,名詞,負傷,名詞,249,3.2413,1055,1632,7682
446,自転車,名詞,転倒,名詞,249,3.2413,393,1254,7682
447,する,動詞,終了,名詞,248,3.2283,6712,271,7682
448,バランス,名詞,際,名詞,248,3.2283,534,3015,7682
449,治療,名詞,際,名詞,248,3.2283,372,3015,7682
450,いる,動詞,右手,名詞,247,3.2153,5314,347,7682
451,する,動詞,左手,名詞,247,3.2153,6712,266,7682
452,ボール,名詞,蹴る,動詞,247,3.2153,1623,400,7682
453,強打,名詞,顔面,名詞,247,3.2153,810,1039,7682
454,活動,名詞,負傷,名詞,247,3.2153,1104,1632,7682
455,ある,動詞,中,名詞,245,3.1893,551,4291,7682
456,いる,動詞,頭,名詞,245,3.1893,5314,355,7682
457,ため,名詞,転倒,名詞,245,3.1893,1266,1254,7682
458,ところ,名詞,体育,名詞,245,3.1893,1929,891,7682
459,ボール,名詞,場,名詞,245,3.1893,1623,886,7682
460,崩す,動詞,際,名詞,245,3.1893,518,3015,7682
461,相手,名詞,眼,名詞,245,3.1893,908,1473,7682
462,打球,名詞,練習,名詞,244,3.1763,352,2068,7682
463,する,動詞,性,名詞,243,3.1632,6712,252,7682
464,する,動詞,選手,名詞,243,3.1632,6712,271,7682
465,ところ,名詞,活動,名詞,243,3.1632,1929,1104,7682
466,児童,名詞,右,名詞,243,3.1632,1055,1550,7682
467,生徒,名詞,行う,動詞,243,3.1632,2296,601,7682
468,生徒,名詞,運動,名詞,243,3.1632,2296,809,7682
469,足,名詞,転倒,名詞,243,3.1632,667,1254,7682
470,いる,動詞,バッティング,名詞,241,3.1372,5314,279,7682
471,いる,動詞,頭部,名詞,241,3.1372,5314,373,7682
472,する,動詞,られる,動詞,241,3.1372,6712,287,7682
473,する,動詞,切る,動詞,241,3.1372,6712,303,7682
474,する,動詞,残存,名詞,241,3.1372,6712,241,7682
475,倒れる,動詞,際,名詞,241,3.1372,612,3015,7682
476,右,名詞,相手,名詞,241,3.1372,1550,908,7682
477,場,名詞,当たる,動詞,241,3.1372,886,1708,7682
478,残る,動詞,負傷,名詞,241,3.1372,797,1632,7682
479,いる,動詞,室,名詞,240,3.1242,5314,323,7682
480,する,動詞,飛ぶ,動詞,240,3.1242,6712,274,7682
481,中,名詞,投げる,動詞,240,3.1242,4291,403,7682
482,する,動詞,衝突,名詞,239,3.1112,6712,239,7682
483,ボール,名詞,直撃,名詞,239,3.1112,1623,488,7682
484,中,名詞,受診,名詞,239,3.1112,4291,279,7682
485,直撃,名詞,眼,名詞,239,3.1112,488,1473,7682
486,いる,動詞,手術,名詞,238,3.0982,5314,335,7682
487,強打,名詞,部,名詞,238,3.0982,810,2321,7682
488,時,名詞,際,名詞,238,3.0982,753,3015,7682
489,上,名詞,際,名詞,237,3.0851,541,3015,7682
490,いる,動詞,打球,名詞,236,3.0721,5314,352,7682
491,いる,動詞,膝,名詞,236,3.0721,5314,358,7682
492,とき,名詞,ボール,名詞,236,3.0721,1108,1623,7682
493,ボール,名詞,顔面,名詞,236,3.0721,1623,1039,7682
494,中,名詞,性,名詞,236,3.0721,4291,252,7682
495,当たる,動詞,打つ,動詞,236,3.0721,1708,835,7682
496,する,動詞,接触,名詞,235,3.0591,6712,239,7682
497,場,名詞,左,名詞,235,3.0591,886,1470,7682
498,サッカー,名詞,部,名詞,234,3.0461,463,2321,7682
499,ボール,名詞,他,名詞,234,3.0461,1623,1224,7682
500,場,名詞,眼,名詞,234,3.0461,886,1473,7682
